Sample ID,Powder,Process,Gas,Recycled,Median_Number,Mean_Number,Std_Dev_Number,Mode_Number,Geo_Mean_ Number,d5_Number,d10_Number,d50_Number,d90_Number,d95_Number,Fines,Full_Mean_CE Dia,Full_SD_CE Dia ,Full_Skw_CE_Dia ,Full_Krt_CE_Dia ,Full_Q75-Q25_CE Dia ,Full_Max_CE Dia ,Full_Q90_CE Dia,Full_Q50_CE Dia ,Full_Q10_CE Dia,Full_Min_CE_Dia, 7um_Mean_CE_Dia,7um_SD_CE_Dia,7um_Skw_CE Dia,7um_Krt CE_Dia,7um_Q75-Q25_CE Dia,7um_Max_CE Dia,7um_Q90_CE_Dia,7um_Q50_CE_Dia,7um_Q10_CE_Dia,7um_Min_CE_Dia,Full_Mean_Circ,Full_SD_Circ ,Full_Skw_Circ,Full_Krt_Circ ,Full Q75-Q25_Circ,Full_Q10_Circ,Full_Min_Circ , 7um_Mean_Circ,7um_SD_Circ,7um_Skw_Circ,7um_Krt_Circ,7um_Q75-Q25_Circ,7um_Q90_Circ,7um_Q50_Circ,7um_Q10_Circ,7um_Min_Circ,Full_Mean_AR,Full_SD_AR ,Full_Q75-Q25_AR,Full_Max_AR,Full Q90 AR,Full Q50 AR,Full Q10 AR, 7um Mean AR , 7um SD AR,7um Q75-Q25 AR,7um Max AR,7um Q90 AR,7um Q50 AR,7um Q10 AR,Full Mean Cnvx,Full SD Cnvx ,Full Skw Cnvx ,Full Krt Cnvx ,Full Q75-Q25 Cnvx,Full Q50 Cnvx,Full Q10 Cnvx,Full Min Cnvx, 7um Mean Cnvx,7um SD Cnvx,7um Skw Cnvx ,7um Krt Cnvx,7um Q75-Q25 Cnvx ,7um Q50 Cnvx,7um Q10 Cnvx,7um Min Cnvx,Built,Flow_Energy,Stability_Index ,Flow_Rate_Index,Specific_Energy ,Cond_Bulk_ Density,Aeration_Ratio,Norm_Aera_Sensitivity,Consolidation_Energy,Consolidation_Index,Pressure_Drop,Permeability,Compressibility,Shear_Stress_Upper,Shear_Stress_Lower,Flow Function,Ni_Powder,"Cr, Powder","Nb, Powder","Mo, Powder","Ti, Powder","Al, Powder","Fe, Powder","C, Powder","Si, Powder","S, Powder","N, Powder","B, Powder","Co, Powder","Cu, Powder","Mn, Powder","V, Powder","W, Powder","O, Powder","Ni, Build","Cr, Build","Nb, Build","Mo, Build","Ti, Build","Al, Build","Fe, Build","C, Build","Si, Build","N, Build","B, Build","Co, Build","Cu, Build","Mn, Build","V, Build","W, Build","S, Build","O, Build","Porosity VF, GS","Porosity Size, GS","Porosity VF, FHT","Porosity size, FHT","Grain size, FHT","Grain structure, FHT",Avg. Carbide Dia. (nm),Carbide VF,Avg. Nitride Dia. (nm),Nitride VF,"Melt Pool Depth , GS","Hardness, FHT",AF,Ra T,Ra L,Avg HCF life,Max HCF life,Min HCF life,Avg HCF stress,Max HCF stress,Min HCF stress,Elastic_Modulus,Prop_Limit,0.02_YS,0.2_YS,UTS,Ef,RA,"Median, Number","Mean, Number","Std.Dev., Number","Mode, Number","Geo.Mean, Number","d5, Number","d10, Number","d50, Number","d90, Number","d95, Number","Median, Volume","Mean, Volume","Std.Dev., Volume","Mode, Volume","Geo.Mean, Volume","d5, Volume","d10, Volume","d50, Volume","d90, Volume","d95, Volume"
9,G2,GA,Ar,0,26.28,26.99,7.08,27.60,26.09,16.58,18.40,26.28,36.35,39.73,1.31,16.10,5.82,1.56,7.74,5.93,122.00,23.75,14.55,11.07,0.88,16.28,5.65,1.83,8.16,5.92,122.00,23.82,14.62,11.20,7.01,0.98,0.03,-3.25,21.18,0.02,0.94,0.29,0.98,0.03,-2.66,11.53,0.02,1.00,0.99,0.94,0.51,1.10,0.13,0.13,15.38,1.35,1.04,1.01,1.10,0.13,0.13,7.46,1.34,1.04,1.01,1.00,0.01,-4.67,50.57,0.01,1.00,0.99,0.60,1.00,0.01,-4.62,50.07,0.01,1.00,0.99,0.60,1,735.5,1.00,1.25,3.07,4.44,11.80,0.24,2235.00,3.04,9.81,6.70,4.30,20.3,1.85,10.9,53.55,18.78,5.00,2.99,0.94,0.46,18.11,0.04,0.05,0.00,0.02,0.04,0.03,0.00,0.00,0.00,0.01,0.02,53.80,18.72,4.99,2.98,0.94,0.46,17.93,0.03,0.04,0.03,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.02,0.14,9.30,0.28,3.33,63.23,Recrystallized,594.4,0.057026477,89.6,0.265173116,206.40,469.10,1,11.26,10.47,1653407.00,2041099,398719,39591,39733,39517,188.2,966,996,1140,1348,0.238,24.2,17.50,18.13,5.84,18.53,17.22,9.62,10.99,17.50,25.85,28.90,21.70,23.20,10.06,21.72,21.74,13.13,14.84,21.70,31.45,35.85
10,G3,GA,Ar,0,4.08,6.44,11.95,3.76,4.56,3.38,3.45,4.08,5.36,14.65,8.07,24.97,10.75,-0.01,3.60,10.93,104.49,38.78,24.46,11.94,0.88,26.95,8.77,0.81,3.86,10.46,104.49,39.50,25.27,17.57,7.01,0.97,0.04,-2.74,16.25,0.04,0.92,0.45,0.97,0.04,-2.05,9.62,0.04,1.00,0.98,0.92,0.45,1.14,0.15,0.18,7.81,1.39,1.09,1.01,1.13,0.14,0.18,5.46,1.38,1.09,1.01,0.99,0.01,-4.27,76.63,0.01,0.99,0.98,0.50,0.99,0.01,-4.24,82.19,0.01,0.99,0.98,0.50,1,961.5,1.11,1.19,3.32,4.49,127.00,0.26,1154.00,1.20,7.18,8.80,4.39,19.9,2.09,9.5,53.40,18.77,5.08,3.02,0.92,0.49,18.15,0.04,0.03,0.01,0.02,0.03,0.03,0.00,0.00,0.00,0.01,0.02,53.70,18.70,5.07,3.01,0.92,0.48,17.96,0.03,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.02,0.14,9.97,0.02,4.52,70.99,Recrystallized,492,0.102647658,104.7,0.333604888,283.00,469.20,1,,,753855.67,853727,686705,39878,40000,39753,183.6,859,948,1128,1132,0.009,,26.28,26.99,7.08,27.60,26.09,16.58,18.40,26.28,36.35,39.73,32.09,34.47,14.99,31.93,32.52,20.90,23.19,32.09,45.88,52.00
11,G4,GA,Ar,0,22.56,23.23,7.27,24.23,22.11,12.43,14.26,22.56,32.91,36.47,89.85,8.68,20.91,3.19,11.55,2.31,126.49,7.14,2.15,1.15,0.88,64.12,29.57,-1.01,2.60,21.33,126.49,91.43,74.02,8.51,7.01,0.98,0.04,-4.41,36.14,0.02,0.94,0.28,0.91,0.05,-0.39,4.42,0.05,0.99,0.91,0.86,0.64,1.10,0.12,0.11,19.61,1.28,1.06,1.01,1.19,0.18,0.22,4.39,1.54,1.14,1.02,0.99,0.02,-3.50,14.75,0.00,1.00,1.00,0.82,0.95,0.03,0.36,2.55,0.04,0.94,0.91,0.82,0,821,1.12,1.18,2.78,4.42,2.16,0.09,1859.00,2.25,1.14,57.30,1.95,19.6,1.39,14.1,53.65,18.77,5.08,3.03,0.90,0.48,18.03,0.03,0.03,0.00,0.02,0.03,0.01,0.00,0.01,0.00,0.00,0.01,53.85,18.72,5.02,2.99,0.89,0.47,17.89,0.03,0.03,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.27,11.50,0.07,6.52,39.17,Recrystallized,591.4,0.057026477,114.4,0.287983707,230.50,465.40,1,12.57,13.31,711100.00,1208625,4624,48927,39688,39557,188.2,934,968,1123,1143,0.009,,4.08,6.44,11.95,3.76,4.56,3.38,3.45,4.08,5.36,14.65,73.12,76.06,23.55,73.17,72.67,61.10,64.25,73.12,83.89,86.32
12,H1,GA,Ar,0,25.14,26.06,8.87,27.69,24.58,13.10,15.25,25.14,37.82,42.36,78.21,6.09,8.38,2.21,7.593658913,3.88,92.14,19.49,2.33,1.07,0.88,19.83,8.66,0.82,3.69,11.32,92.14,31.61,18.65,9.07,7.01,0.98,0.03,-3.39,24.20,0.02,0.95,0.35,0.96,0.04,-1.45,5.33,0.05,1.00,0.97,0.90,0.56,1.11,0.12,0.11,9.80,1.30,1.07,1.01,1.17,0.16,0.23,5.78,1.47,1.12,1.02,1.00,0.01,-5.23,44.20,0.00,1.00,0.99,0.82,0.99,0.01,-2.51,13.53,0.01,1.00,0.98,0.82,1,1018,1.13,1.21,3.59,4.06,109.00,0.21,2187.00,2.15,5.52,11.70,4.84,20.2,1.91,10.6,53.14,18.52,4.89,2.96,0.88,0.36,19.02,0.02,0.07,0.00,0.06,0.02,0.03,0.00,0.01,0.01,0.01,0.03,53.40,18.47,4.85,2.93,0.87,0.35,18.84,0.02,0.06,0.04,0.00,0.03,0.00,0.01,0.01,0.01,0.00,0.03,0.19,8.26,0.06,4.35,40.85,Partially,329.9,0.005702648,111.8,0.433401222,240.00,440.60,1,10.58,9.81,2631680.00,4477340,2411294,39467,39880,39062,183.4,890,911,1045,1266,0.211,26.4,22.56,23.23,7.27,24.23,22.11,12.43,14.26,22.56,32.91,36.47,29.39,30.64,9.34,29.17,29.31,17.85,20.17,29.39,42.63,47.67
13,D2R1,GA,Ar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,52.85,19.11,4.93,2.96,0.82,0.50,18.54,0.03,0.02,0.00,0.01,0.05,0.10,0.02,0.03,0.01,0.02,0.02,52.25,18.38,4.98,2.98,0.88,0.69,19.12,0.036,0.185,0.002,0.0176,0.10,0.02,0.03,0.01,0.02,0.00,0.02,0.11,9.79,0.05,3.14,62.67,Recrystallized,627.3,0.07413442,94.3,0.239511202,276.30,459.00,1,11.90,12.17,892731.67,1195140,631094,39329,39972,38639,183.8,931,971,1110,1326,0.231,23.5,25.14,26.06,8.87,27.69,24.58,13.10,15.25,25.14,37.82,42.36,33.39,35.03,11.23,32.32,33.36,19.95,22.59,33.39,49.50,56.06
14,F2R2,GA,Ar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,53.55,18.37,4.97,2.97,0.92,0.39,18.46,0.03,0.05,0.00,0.04,0.00,0.17,0.03,0.05,0.02,0.03,0.02,53.95,18.22,4.96,2.94,0.92,0.39,18.24,0.03,0.07,0.06,0.00,0.13,0.02,0.04,0.02,0.02,0.00,0.02,0.78,18.01,0.02,3.40,69.60,Recrystallized,527.9,0.017107943,86.6,0.239511202,256.80,461.90,1,10.64,11.41,921213.33,1071620,833595,39406,39616,39007,182.2,923,963,1100,1314,0.235,19.2,,,,,,,,,,,,,,,,,,,,
15,E2R3,GA,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,51.95,18.37,5.01,3.01,0.90,0.71,19.18,0.05,0.21,0.00,0.28,0.01,0.14,0.01,0.15,0.01,0.03,0.02,53.55,18.645,4.925,2.94,0.86,0.45,18.35,0.096,0.04,0.001,0.122,0.13,0.01,0.12,0.01,0.03,0.00,0.02,1.14,12.89,0.03,3.13,19.45,Anisotropic,491.7,0.051323829,137.1,1.154786151,226.20,450.30,1,10.86,10.63,767103.33,1300000,431491,39552,39848,39147,183.9,878,908,1044,1285,0.192,17,,,,,,,,,,,,,,,,,,,,
16,D2V1,GA,Ar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,781,1.09,1.24,3.13,4.50,6.22,0.26,2238.00,2.87,7.71,8.30,4.34,21.2,1.1,19.2,52.85,19.11,4.93,2.96,0.82,0.50,18.54,0.03,0.02,0.00,0.01,0.05,0.10,0.02,0.03,0.01,0.02,0.02,53.25,18.86,4.94,2.94,0.84,0.49,18.39,0.03,0.03,0.03,0.00,0.08,0.01,0.02,0.01,0.01,0.00,0.02,0.46,12.50,0.02,3.82,51.35,Recrystallized,591,0.062729124,93.9,0.259470468,254.80,453.00,1,10.81,10.59,1019053.00,1329071,853702,39551,39742,39356,189.3,927,959,1100,1319,0.239,23.7,,,,,,,,,,,,,,,,,,,,
17,F2V2,GA,Ar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,620,0.98,1.07,2.60,4.94,15.60,0.23,998.00,1.61,10.70,6.00,5.69,18.9,1.7,11.2,53.55,18.37,4.97,2.97,0.92,0.39,18.46,0.03,0.05,0.00,0.04,0.00,0.17,0.03,0.05,0.02,0.03,0.02,53.90,18.16,4.96,2.96,0.93,0.38,18.30,0.04,0.06,0.14,0.00,0.13,0.02,0.04,0.02,0.02,0.00,0.01,0.22,3.55,0.09,3.01,63.69,Recrystallized,490.7,0.051323829,86.6,0.345010183,291.30,461.20,1,11.43,11.31,1029570.33,1138287,902954,39387,39551,39300,182.6,928,948,1087,1302,0.245,34.2,,,,,,,,,,,,,,,,,,,,
18,E2V3,GA,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,912,1.06,1.20,3.50,4.33,55.40,0.18,1433.00,1.57,5.60,11.40,4.20,19.60,1.25,15.70,51.95,18.37,5.01,3.01,0.90,0.71,19.18,0.05,0.21,0.00,0.28,0.01,0.14,0.01,0.15,0.01,0.03,0.02,52.15,18.38,4.98,2.99,0.88,0.70,19.11,0.05,0.20,0.28,0.00,0.14,0.01,0.13,0.01,0.03,0.00,0.02,0.13,8.15,0.02,3.84,31.61,Anisotropic,429.2,0.03706721,137.1,0.992260692,202.90,454.70,1,10.35,10.21,1035665.75,1194022,808959,39311,39746,38905,184.3,881,881,1024,1272,0.194,24.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
